idx,rkts,abstractI,abstractT,expr
1,1,http://purl.bdrc.io/resource/W4CZ16824,http://purl.bdrc.io/resource/W0RKT0001,http://purl.bdrc.io/resource/W4CZ5369_0001
1-1,1-1,http://purl.bdrc.io/resource/W0RKA0001-1,http://purl.bdrc.io/resource/W0RKT0001-1,http://purl.bdrc.io/resource/W4CZ5369_0001-1
1-10,1-10,http://purl.bdrc.io/resource/W0RKA0001-10,http://purl.bdrc.io/resource/W0RKT0001-10,http://purl.bdrc.io/resource/W4CZ5369_0001-10
1-11,1-11,http://purl.bdrc.io/resource/W0RKA0001-11,http://purl.bdrc.io/resource/W0RKT0001-11,http://purl.bdrc.io/resource/W4CZ5369_0001-11
1-12,1-12,http://purl.bdrc.io/resource/W0RKA0001-12,http://purl.bdrc.io/resource/W0RKT0001-12,http://purl.bdrc.io/resource/W4CZ5369_0001-12
1-13,1-13,http://purl.bdrc.io/resource/W0RKA0001-13,http://purl.bdrc.io/resource/W0RKT0001-13,http://purl.bdrc.io/resource/W4CZ5369_0001-13
1-14,1-14,http://purl.bdrc.io/resource/W0RKA0001-14,http://purl.bdrc.io/resource/W0RKT0001-14,http://purl.bdrc.io/resource/W4CZ5369_0001-14
1-15,1-15,http://purl.bdrc.io/resource/W0RKA0001-15,http://purl.bdrc.io/resource/W0RKT0001-15,http://purl.bdrc.io/resource/W4CZ5369_0001-15
1-16,1-16,http://purl.bdrc.io/resource/W0RKA0001-16,http://purl.bdrc.io/resource/W0RKT0001-16,http://purl.bdrc.io/resource/W4CZ5369_0001-16
1-17,1-17,http://purl.bdrc.io/resource/W0RKA0001-17,http://purl.bdrc.io/resource/W0RKT0001-17,http://purl.bdrc.io/resource/W4CZ5369_0001-17
1-2,1-2,http://purl.bdrc.io/resource/W0RKA0001-2,http://purl.bdrc.io/resource/W0RKT0001-2,http://purl.bdrc.io/resource/W4CZ5369_0001-2
1-3,1-3,http://purl.bdrc.io/resource/W0RKA0001-3,http://purl.bdrc.io/resource/W0RKT0001-3,http://purl.bdrc.io/resource/W4CZ5369_0001-3
1-4,1-4,http://purl.bdrc.io/resource/W0RKA0001-4,http://purl.bdrc.io/resource/W0RKT0001-4,http://purl.bdrc.io/resource/W4CZ5369_0001-4
1-5,1-5,http://purl.bdrc.io/resource/W0RKA0001-5,http://purl.bdrc.io/resource/W0RKT0001-5,http://purl.bdrc.io/resource/W4CZ5369_0001-5
1-6,1-6,http://purl.bdrc.io/resource/W0RKA0001-6,http://purl.bdrc.io/resource/W0RKT0001-6,http://purl.bdrc.io/resource/W4CZ5369_0001-6
1-7,1-7,http://purl.bdrc.io/resource/W0RKA0001-7,http://purl.bdrc.io/resource/W0RKT0001-7,http://purl.bdrc.io/resource/W4CZ5369_0001-7
1-8,1-8,http://purl.bdrc.io/resource/W0RKA0001-8,http://purl.bdrc.io/resource/W0RKT0001-8,http://purl.bdrc.io/resource/W4CZ5369_0001-8
1-9,1-9,http://purl.bdrc.io/resource/W0RKA0001-9,http://purl.bdrc.io/resource/W0RKT0001-9,http://purl.bdrc.io/resource/W4CZ5369_0001-9
10,10,http://purl.bdrc.io/resource/W4CZ15640,http://purl.bdrc.io/resource/W0RKT0010,http://purl.bdrc.io/resource/W4CZ5369_0010
100,100,http://purl.bdrc.io/resource/W0RKA0100,http://purl.bdrc.io/resource/W0RKT0100,http://purl.bdrc.io/resource/W4CZ5369_0100
1000,721,http://purl.bdrc.io/resource/W0RKA0721,http://purl.bdrc.io/resource/W0RKT0721,http://purl.bdrc.io/resource/W4CZ5369_1000
1001,723,http://purl.bdrc.io/resource/W0RKA0723,http://purl.bdrc.io/resource/W0RKT0723,http://purl.bdrc.io/resource/W4CZ5369_1001
1002,724,http://purl.bdrc.io/resource/W0RKA0724,http://purl.bdrc.io/resource/W0RKT0724,http://purl.bdrc.io/resource/W4CZ5369_1002
1003,562,http://purl.bdrc.io/resource/W0RKA0562,http://purl.bdrc.io/resource/W0RKT0562,http://purl.bdrc.io/resource/W4CZ5369_1003
1004,563,http://purl.bdrc.io/resource/W0RKA0563,http://purl.bdrc.io/resource/W0RKT0563,http://purl.bdrc.io/resource/W4CZ5369_1004
1005,734,http://purl.bdrc.io/resource/W0RKA0734,http://purl.bdrc.io/resource/W0RKT0734,http://purl.bdrc.io/resource/W4CZ5369_1005
1006,735,http://purl.bdrc.io/resource/W0RKA0735,http://purl.bdrc.io/resource/W0RKT0735,http://purl.bdrc.io/resource/W4CZ5369_1006
1007,656,http://purl.bdrc.io/resource/W0RKA0656,http://purl.bdrc.io/resource/W0RKT0656,http://purl.bdrc.io/resource/W4CZ5369_1007
1008,613,http://purl.bdrc.io/resource/W0RKA0613,http://purl.bdrc.io/resource/W0RKT0613,http://purl.bdrc.io/resource/W4CZ5369_1008
1009,737,http://purl.bdrc.io/resource/W0RKA0737,http://purl.bdrc.io/resource/W0RKT0737,http://purl.bdrc.io/resource/W4CZ5369_1009
101,101,http://purl.bdrc.io/resource/W0RKA0101,http://purl.bdrc.io/resource/W0RKT0101,http://purl.bdrc.io/resource/W4CZ5369_0101
1010,624,http://purl.bdrc.io/resource/W0RKA0624,http://purl.bdrc.io/resource/W0RKT0624,http://purl.bdrc.io/resource/W4CZ5369_1010
1011,771,http://purl.bdrc.io/resource/W0RKA0771,http://purl.bdrc.io/resource/W0RKT0771,http://purl.bdrc.io/resource/W4CZ5369_1011
1012,772,http://purl.bdrc.io/resource/W0RKA0772,http://purl.bdrc.io/resource/W0RKT0772,http://purl.bdrc.io/resource/W4CZ5369_1012
1013,776,http://purl.bdrc.io/resource/W0RKA0776,http://purl.bdrc.io/resource/W0RKT0776,http://purl.bdrc.io/resource/W4CZ5369_1013
1014,616,http://purl.bdrc.io/resource/W0RKA0616,http://purl.bdrc.io/resource/W0RKT0616,http://purl.bdrc.io/resource/W4CZ5369_1014
1015,617,http://purl.bdrc.io/resource/W0RKA0617,http://purl.bdrc.io/resource/W0RKT0617,http://purl.bdrc.io/resource/W4CZ5369_1015
1016,619,http://purl.bdrc.io/resource/W0RKA0619,http://purl.bdrc.io/resource/W0RKT0619,http://purl.bdrc.io/resource/W4CZ5369_1016
1017,618,http://purl.bdrc.io/resource/W0RKA0618,http://purl.bdrc.io/resource/W0RKT0618,http://purl.bdrc.io/resource/W4CZ5369_1017
1018,614,http://purl.bdrc.io/resource/W0RKA0614,http://purl.bdrc.io/resource/W0RKT0614,http://purl.bdrc.io/resource/W4CZ5369_1018
1019,620,http://purl.bdrc.io/resource/W0RKA0620,http://purl.bdrc.io/resource/W0RKT0620,http://purl.bdrc.io/resource/W4CZ5369_1019
102,102,http://purl.bdrc.io/resource/W0RKA0102,http://purl.bdrc.io/resource/W0RKT0102,http://purl.bdrc.io/resource/W4CZ5369_0102
1020,615,http://purl.bdrc.io/resource/W0RKA0615,http://purl.bdrc.io/resource/W0RKT0615,http://purl.bdrc.io/resource/W4CZ5369_1020
1021,778,http://purl.bdrc.io/resource/W0RKA0778,http://purl.bdrc.io/resource/W0RKT0778,http://purl.bdrc.io/resource/W4CZ5369_1021
1022,779,http://purl.bdrc.io/resource/W0RKA0779,http://purl.bdrc.io/resource/W0RKT0779,http://purl.bdrc.io/resource/W4CZ5369_1022
1023,780,http://purl.bdrc.io/resource/W0RKA0780,http://purl.bdrc.io/resource/W0RKT0780,http://purl.bdrc.io/resource/W4CZ5369_1023
1024,1024,http://purl.bdrc.io/resource/W0RKA1024,http://purl.bdrc.io/resource/W0RKT1024,http://purl.bdrc.io/resource/W4CZ5369_1024
1025,781,http://purl.bdrc.io/resource/W0RKA0781,http://purl.bdrc.io/resource/W0RKT0781,http://purl.bdrc.io/resource/W4CZ5369_1025
1026,782,http://purl.bdrc.io/resource/W0RKA0782,http://purl.bdrc.io/resource/W0RKT0782,http://purl.bdrc.io/resource/W4CZ5369_1026
1027,783,http://purl.bdrc.io/resource/W0RKA0783,http://purl.bdrc.io/resource/W0RKT0783,http://purl.bdrc.io/resource/W4CZ5369_1027
1028,784,http://purl.bdrc.io/resource/W0RKA0784,http://purl.bdrc.io/resource/W0RKT0784,http://purl.bdrc.io/resource/W4CZ5369_1028
1029,787,http://purl.bdrc.io/resource/W0RKA0787,http://purl.bdrc.io/resource/W0RKT0787,http://purl.bdrc.io/resource/W4CZ5369_1029
103,103,http://purl.bdrc.io/resource/W0RKA0103,http://purl.bdrc.io/resource/W0RKT0103,http://purl.bdrc.io/resource/W4CZ5369_0103
1030,788,http://purl.bdrc.io/resource/W0RKA0788,http://purl.bdrc.io/resource/W0RKT0788,http://purl.bdrc.io/resource/W4CZ5369_1030
1031,774,http://purl.bdrc.io/resource/W0RKA0774,http://purl.bdrc.io/resource/W0RKT0774,http://purl.bdrc.io/resource/W4CZ5369_1031
1032,775,http://purl.bdrc.io/resource/W0RKA0775,http://purl.bdrc.io/resource/W0RKT0775,http://purl.bdrc.io/resource/W4CZ5369_1032
1033,785,http://purl.bdrc.io/resource/W0RKA0785,http://purl.bdrc.io/resource/W0RKT0785,http://purl.bdrc.io/resource/W4CZ5369_1033
1034,786,http://purl.bdrc.io/resource/W0RKA0786,http://purl.bdrc.io/resource/W0RKT0786,http://purl.bdrc.io/resource/W4CZ5369_1034
1035,790,http://purl.bdrc.io/resource/W0RKA0790,http://purl.bdrc.io/resource/W0RKT0790,http://purl.bdrc.io/resource/W4CZ5369_1035
1036,736,http://purl.bdrc.io/resource/W0RKA0736,http://purl.bdrc.io/resource/W0RKT0736,http://purl.bdrc.io/resource/W4CZ5369_1036
1037,1390,http://purl.bdrc.io/resource/W0RKA1390,http://purl.bdrc.io/resource/W0RKT1390,http://purl.bdrc.io/resource/W4CZ5369_1037
1038,713,http://purl.bdrc.io/resource/W0RKA0713,http://purl.bdrc.io/resource/W0RKT0713,http://purl.bdrc.io/resource/W4CZ5369_1038
1039,644,http://purl.bdrc.io/resource/W0RKA0644,http://purl.bdrc.io/resource/W0RKT0644,http://purl.bdrc.io/resource/W4CZ5369_1039
104,104,http://purl.bdrc.io/resource/W0RKA0104,http://purl.bdrc.io/resource/W0RKT0104,http://purl.bdrc.io/resource/W4CZ5369_0104
1040,645,http://purl.bdrc.io/resource/W0RKA0645,http://purl.bdrc.io/resource/W0RKT0645,http://purl.bdrc.io/resource/W4CZ5369_1040
1041,714,http://purl.bdrc.io/resource/W0RKA0714,http://purl.bdrc.io/resource/W0RKT0714,http://purl.bdrc.io/resource/W4CZ5369_1041
1042,705,http://purl.bdrc.io/resource/W0RKA0705,http://purl.bdrc.io/resource/W0RKT0705,http://purl.bdrc.io/resource/W4CZ5369_1042
1043,706,http://purl.bdrc.io/resource/W0RKA0706,http://purl.bdrc.io/resource/W0RKT0706,http://purl.bdrc.io/resource/W4CZ5369_1043
